ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
000519.SZ,19950727,3.4688,3.4938,3.4605,3.4938,3.4938,0.0,0.0,504.0,210.381
000519.SZ,19950726,3.5188,3.5438,3.4605,3.4938,3.4938,0.0,0.0,1107.0,463.471
000519.SZ,19950725,3.5188,3.5355,3.4605,3.4938,3.5188,-0.025000000000000355,-0.7105,1510.0,630.254
000519.SZ,19950724,3.5939,3.6439,3.5022,3.5188,3.5522,-0.033399999999999874,-0.9403,1855.0,787.67
000519.SZ,19950721,3.5355,3.5855,3.5022,3.5522,3.5188,0.033399999999999874,0.9492,1750.0,743.689
000519.SZ,19950720,3.5022,3.6689,3.4855,3.5188,3.5022,0.016599999999999948,0.474,2895.0,1242.283
000519.SZ,19950719,3.5022,3.5689,3.4938,3.5022,3.5772,-0.07499999999999973,-2.0966,1265.0,534.278
000519.SZ,19950718,3.5855,3.6272,3.5522,3.5772,3.6272,-0.050000000000000266,-1.3785,3335.0,1431.668
000519.SZ,19950717,3.5022,3.6522,3.4855,3.6272,3.4771,0.15010000000000012,4.3168,7562.0,3256.102
000519.SZ,19950714,3.4605,3.5272,3.4605,3.4771,3.5022,-0.025100000000000122,-0.7167,2160.0,908.321
000519.SZ,19950713,3.4354,3.5438,3.4354,3.5022,3.4438,0.05840000000000023,1.6958,2577.0,1079.689
000519.SZ,19950712,3.4438,3.4938,3.4188,3.4438,3.4438,0.0,0.0,1023.0,421.737
000519.SZ,19950711,3.5438,3.5605,3.4438,3.4438,3.5272,-0.08340000000000014,-2.3645,1702.0,714.25
000519.SZ,19950710,3.5689,3.5855,3.4605,3.5272,3.5272,0.0,0.0,4938.0,2084.743
000519.SZ,19950707,3.3854,3.5438,3.3771,3.5272,3.3854,0.14179999999999993,4.1886,4006.0,1675.934
000519.SZ,19950706,3.4104,3.4605,3.3854,3.3854,3.4104,-0.02499999999999991,-0.7331,1926.0,788.047
000519.SZ,19950705,3.4104,3.4188,3.3687,3.4104,3.4104,0.0,0.0,1127.0,459.738
000519.SZ,19950704,3.3437,3.4354,3.3354,3.4104,3.3687,0.04170000000000007,1.2379,844.0,342.769
000519.SZ,19950703,3.3604,3.4188,3.3604,3.3687,3.4438,-0.07509999999999994,-2.1807,1333.0,538.549
000519.SZ,19950630,3.5188,3.5355,3.4188,3.4438,3.4938,-0.04999999999999982,-1.4311,1480.0,616.529
000519.SZ,19950629,3.4855,3.5355,3.4438,3.4938,3.4855,0.008299999999999752,0.2381,1076.0,449.852
000519.SZ,19950628,3.4271,3.4855,3.4188,3.4855,3.4521,0.033399999999999874,0.9675,1361.0,561.293
000519.SZ,19950627,3.5855,3.6189,3.4354,3.4521,3.4938,-0.041699999999999626,-1.1935,5056.0,2146.094
000519.SZ,19950626,3.4032,3.5416,3.3625,3.4927,3.3543,0.1384000000000003,4.126,9432.0,4028.954
000519.SZ,19950623,3.3055,3.3625,3.3055,3.3543,3.3462,0.008099999999999774,0.2421,1538.0,631.293
000519.SZ,19950622,3.3869,3.3869,3.338,3.3462,3.4032,-0.05699999999999994,-1.6749,1412.0,580.939
000519.SZ,19950621,3.4113,3.4113,3.281,3.4032,3.3055,0.09770000000000012,2.9557,1293.0,533.218
000519.SZ,19950620,3.2648,3.338,3.2648,3.3055,3.281,0.024499999999999744,0.7467,545.0,221.411
000519.SZ,19950619,3.2648,3.2973,3.1752,3.281,3.338,-0.05699999999999994,-1.7076,1020.0,408.996
000519.SZ,19950616,3.2159,3.338,3.1915,3.338,3.2648,0.07319999999999993,2.2421,2744.0,1109.117
000519.SZ,19950615,3.4276,3.4357,3.2403,3.2648,3.4439,-0.17910000000000004,-5.2005,5327.0,2152.074
000519.SZ,19950614,3.5009,3.5009,3.4276,3.4439,3.5009,-0.05699999999999994,-1.6282,1095.0,464.963
000519.SZ,19950613,3.4602,3.5009,3.4439,3.5009,3.4602,0.04070000000000018,1.1762,1256.0,537.82
000519.SZ,19950612,3.4602,3.4764,3.4276,3.4602,3.4602,0.0,0.0,781.0,331.76
000519.SZ,19950609,3.4764,3.5009,3.4439,3.4602,3.4439,0.01629999999999976,0.4733,995.0,423.27
000519.SZ,19950608,3.5741,3.5741,3.4194,3.4439,3.5741,-0.13019999999999987,-3.6429,1710.0,734.926
000519.SZ,19950607,3.4602,3.5823,3.4439,3.5741,3.452,0.1221000000000001,3.5371,1237.0,535.328
000519.SZ,19950606,3.4194,3.4602,3.3787,3.452,3.4357,0.01629999999999976,0.4744,1847.0,776.886
000519.SZ,19950605,3.5009,3.5416,3.4194,3.4357,3.5416,-0.10589999999999966,-2.9902,2008.0,853.87
000519.SZ,19950602,3.5823,3.5823,3.5171,3.5416,3.566,-0.024399999999999977,-0.6842,1790.0,785.418
000519.SZ,19950601,3.4683,3.566,3.4602,3.566,3.4927,0.0732999999999997,2.0987,1596.0,688.558
000519.SZ,19950531,3.5171,3.5579,3.4846,3.4927,3.5986,-0.10589999999999966,-2.9428,2060.0,889.0
000519.SZ,19950530,3.5823,3.6637,3.566,3.5986,3.5823,0.01629999999999976,0.455,1903.0,849.494
000519.SZ,19950529,3.7777,3.7777,3.5334,3.5823,3.623,-0.04070000000000018,-1.1234,2764.0,1218.93
000519.SZ,19950526,3.5009,3.9079,3.4194,3.623,3.4846,0.1384000000000003,3.9718,8316.0,3716.767
000519.SZ,19950525,3.737,3.8265,3.4846,3.4846,3.737,-0.2524000000000002,-6.7541,5311.0,2380.189
000519.SZ,19950524,3.6393,3.8265,3.5416,3.737,3.7288,0.008199999999999985,0.2199,8547.0,3871.009
000519.SZ,19950523,4.0708,4.315,3.7125,3.7288,4.6244,-0.8955999999999995,-19.3668,24428.0,11994.582
000519.SZ,19950522,4.5593,4.8035,4.4778,4.6244,4.4127,0.21169999999999956,4.7975,39932.0,22810.71
000519.SZ,19950519,3.9079,4.8849,3.9079,4.4127,2.9472,1.4655,49.7252,26974.0,14730.694
000519.SZ,19950517,2.9472,2.9472,2.8902,2.9472,2.9391,0.008100000000000218,0.2756,982.0,352.037
000519.SZ,19950516,2.9554,2.9635,2.931,2.9391,2.9391,0.0,0.0,458.0,165.52
000519.SZ,19950515,2.9717,2.9798,2.9147,2.9391,2.9635,-0.024399999999999977,-0.8234,464.0,167.684
000519.SZ,19950512,2.9147,3.0124,2.874,2.9635,2.9065,0.05699999999999994,1.9611,1408.0,513.88
000519.SZ,19950511,2.9147,2.9554,2.8902,2.9065,2.9147,-0.008199999999999985,-0.2813,816.0,292.863
000519.SZ,19950510,3.0531,3.0531,2.8495,2.9147,3.0205,-0.10580000000000034,-3.5027,1923.0,688.385
000519.SZ,19950509,2.9798,3.0531,2.9472,3.0205,2.9798,0.04070000000000018,1.3659,1487.0,545.738
000519.SZ,19950508,3.1101,3.1101,2.931,2.9798,3.0042,-0.024399999999999977,-0.8122,841.0,306.751
000519.SZ,19950505,2.9798,3.0124,2.9717,3.0042,3.0042,0.0,0.0,1075.0,395.796
000519.SZ,19950504,3.0124,3.0368,2.9798,3.0042,3.0531,-0.048900000000000166,-1.6017,1145.0,421.971
000519.SZ,19950503,3.1101,3.1345,3.0531,3.0531,3.1101,-0.05699999999999994,-1.8327,809.0,308.221
000519.SZ,19950502,3.0287,3.1345,2.9961,3.1101,3.1426,-0.03249999999999975,-1.0342,979.0,372.556
000519.SZ,19950428,3.0287,3.1508,3.0287,3.1426,3.0449,0.09769999999999968,3.2086,3477.0,1320.215
000519.SZ,19950427,3.1752,3.3787,2.7844,3.0449,3.1996,-0.15470000000000006,-4.835,4431.0,1645.547
000519.SZ,19950426,3.2566,3.3299,3.1752,3.1996,3.2566,-0.05699999999999994,-1.7503,2090.0,833.061
000519.SZ,19950425,3.2973,3.2973,3.2159,3.2566,3.281,-0.024399999999999977,-0.7437,1847.0,734.786
000519.SZ,19950424,3.3787,3.3787,3.2729,3.281,3.4357,-0.15470000000000006,-4.5027,2427.0,991.0
000519.SZ,19950421,3.4927,3.4927,3.4357,3.4357,3.4927,-0.05699999999999994,-1.632,1680.0,712.351
000519.SZ,19950420,3.5009,3.5009,3.4439,3.4927,3.4357,0.05699999999999994,1.6591,1863.0,792.163
000519.SZ,19950419,3.4194,3.452,3.4194,3.4357,3.4439,-0.008199999999999985,-0.2381,998.0,422.0
000519.SZ,19950418,3.4602,3.5253,3.4439,3.4439,3.4764,-0.03249999999999975,-0.9349,1265.0,540.852
000519.SZ,19950417,3.4846,3.5171,3.452,3.4764,3.4683,0.008099999999999774,0.2335,1599.0,684.333
000519.SZ,19950414,3.4194,3.4683,3.4032,3.4683,3.4357,0.03259999999999996,0.9489,3580.0,1514.969
000519.SZ,19950413,3.5009,3.5171,3.4276,3.4357,3.5009,-0.06519999999999992,-1.8624,3335.0,1423.433
000519.SZ,19950412,3.5416,3.566,3.4683,3.5009,3.5416,-0.040699999999999736,-1.1492,3851.0,1659.206
000519.SZ,19950411,3.6474,3.6474,3.5253,3.5416,3.6718,-0.13020000000000032,-3.5459,7228.0,3181.569
000519.SZ,19950410,3.5823,3.737,3.5823,3.6718,3.7532,-0.08139999999999992,-2.1688,30131.0,13614.773
000519.SZ,19950407,3.7044,3.8102,3.6474,3.7532,3.7044,0.048799999999999955,1.3174,10462.0,4805.582
000519.SZ,19950406,3.6393,3.7125,3.5904,3.7044,3.6393,0.06510000000000016,1.7888,4030.0,1811.209
000519.SZ,19950405,3.7044,3.7532,3.6067,3.6393,3.7207,-0.08139999999999992,-2.1878,18941.0,8471.219
000519.SZ,19950404,3.7532,3.7532,3.68,3.7207,3.7532,-0.032500000000000195,-0.8659,4648.0,2124.249
000519.SZ,19950403,3.7451,3.794,3.7044,3.7532,3.7451,0.008100000000000218,0.2163,25627.0,11810.901
000519.SZ,19950331,3.5904,3.7451,3.5416,3.7451,3.5904,0.15470000000000006,4.3087,12556.0,5558.59
000519.SZ,19950330,3.6881,3.7044,3.5823,3.5904,3.6637,-0.07330000000000014,-2.0007,5831.0,2617.095
000519.SZ,19950329,3.5823,3.68,3.566,3.6637,3.6067,0.05699999999999994,1.5804,2222.0,986.017
000519.SZ,19950328,3.5579,3.6067,3.5497,3.6067,3.6148,-0.008099999999999774,-0.2241,3257.0,1430.131
000519.SZ,19950327,3.5823,3.6393,3.5497,3.6148,3.5823,0.03249999999999975,0.9072,2760.0,1223.347
000519.SZ,19950324,3.4602,3.5986,3.4602,3.5823,3.5334,0.048900000000000166,1.3839,967.0,420.792
000519.SZ,19950323,3.623,3.6637,3.5171,3.5334,3.5986,-0.06519999999999992,-1.8118,2436.0,1077.397
000519.SZ,19950322,3.5334,3.6067,3.5253,3.5986,3.5171,0.08149999999999968,2.3173,1547.0,677.989
000519.SZ,19950321,3.4194,3.5171,3.4194,3.5171,3.4927,0.024399999999999977,0.6986,1255.0,535.361
000519.SZ,19950320,3.623,3.623,3.4602,3.4927,3.566,-0.0732999999999997,-2.0555,2323.0,1020.635
000519.SZ,19950317,3.5009,3.623,3.4439,3.566,3.5009,0.06509999999999971,1.8595,2216.0,966.68
